"source_desc","crops","location","year","total","irrigated"
"SURVEY","CORN, SILAGE","06ag51",2005,404500,NA
"SURVEY","CORN, SILAGE","06ag60",2005,400,NA
"SURVEY","CORN, SILAGE","06ag80",2005,3900,NA
"SURVEY","CORN, SILAGE","06ag98",2005,1200,NA
"SURVEY","COTTON","06",2005,657000,NA
"SURVEY","COTTON, PIMA","06",2005,229000,NA
"SURVEY","COTTON, PIMA","06019",2005,88000,NA
"SURVEY","COTTON, PIMA","06029",2005,40000,NA
"SURVEY","COTTON, PIMA","06031",2005,94000,NA
"SURVEY","COTTON, PIMA","06047",2005,1500,NA
"SURVEY","COTTON, PIMA","06107",2005,4600,NA
"SURVEY","COTTON, PIMA","06ag51",2005,229000,NA
"SURVEY","COTTON, UPLAND","06",2005,428000,NA
"SURVEY","COTTON, UPLAND","06011",2005,3200,NA
"SURVEY","COTTON, UPLAND","06019",2005,116500,NA
"SURVEY","COTTON, UPLAND","06021",2005,2700,NA
"SURVEY","COTTON, UPLAND","06025",2005,9900,NA
"SURVEY","COTTON, UPLAND","06029",2005,83600,NA
"SURVEY","COTTON, UPLAND","06031",2005,70000,NA
"SURVEY","COTTON, UPLAND","06039",2005,16400,NA
"SURVEY","COTTON, UPLAND","06047",2005,64200,NA
"SURVEY","COTTON, UPLAND","06065",2005,11400,NA
"SURVEY","COTTON, UPLAND","06071",2005,500,NA
"SURVEY","COTTON, UPLAND","06101",2005,1100,NA
"SURVEY","COTTON, UPLAND","06107",2005,48300,NA
"SURVEY","COTTON, UPLAND","06ag50",2005,7000,NA
"SURVEY","COTTON, UPLAND","06ag51",2005,399200,NA
"SURVEY","COTTON, UPLAND","06ag80",2005,21800,NA
"SURVEY","CUCUMBERS, FRESH MARKET","06",2005,4600,NA
"SURVEY","FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES","06",2005,3982000,NA
"SURVEY","GARLIC","06",2005,25000,NA
"SURVEY","HAY","06",2005,1620000,NA
"SURVEY","HAY & HAYLAGE","06",2005,1785000,NA
"SURVEY","HAY & HAYLAGE, ALFALFA","06",2005,1050000,NA
"SURVEY","HAY, (EXCL ALFALFA)","06",2005,580000,NA
"SURVEY","HAY, ALFALFA","06",2005,1040000,NA
"SURVEY","HAYLAGE","06",2005,260000,NA
"SURVEY","HAYLAGE, ALFALFA","06",2005,95000,NA
"SURVEY","LETTUCE, HEAD, FRESH MARKET","06",2005,125000,NA
"SURVEY","LETTUCE, LEAF, FRESH MARKET","06",2005,48000,NA
"SURVEY","LETTUCE, ROMAINE, FRESH MARKET","06",2005,39000,NA
"SURVEY","MELONS, CANTALOUP, FRESH MARKET","06",2005,46000,NA
"SURVEY","MELONS, HONEYDEW, FRESH MARKET","06",2005,14900,NA
"SURVEY","MELONS, WATERMELON, FRESH MARKET","06",2005,12500,NA
"SURVEY","OATS","06",2005,20000,500
"SURVEY","OATS","06011",2005,200,NA
"SURVEY","OATS","06019",2005,1500,NA
"SURVEY","OATS","06021",2005,200,NA
"SURVEY","OATS","06029",2005,1000,NA
"SURVEY","OATS","06031",2005,500,NA
"SURVEY","OATS","06033",2005,200,NA
"SURVEY","OATS","06039",2005,600,NA
"SURVEY","OATS","06047",2005,4000,NA
"SURVEY","OATS","06049",2005,500,500
"SURVEY","OATS","06069",2005,1200,NA
"SURVEY","OATS","06077",2005,1000,NA
"SURVEY","OATS","06079",2005,1000,NA
"SURVEY","OATS","06085",2005,200,NA
"SURVEY","OATS","06093",2005,1000,NA
"SURVEY","OATS","06095",2005,300,NA
"SURVEY","OATS","06097",2005,1800,NA
"SURVEY","OATS","06099",2005,1200,NA
"SURVEY","OATS","06101",2005,300,NA
"SURVEY","OATS","06107",2005,2700,NA
"SURVEY","OATS","06ag20",2005,1000,NA
"SURVEY","OATS","06ag30",2005,500,500
"SURVEY","OATS","06ag40",2005,4500,NA
"SURVEY","OATS","06ag50",2005,1000,NA
"SURVEY","OATS","06ag51",2005,12500,NA
"SURVEY","OATS","06ag60",2005,500,NA
"SURVEY","ONIONS, DRY, SPRING","06",2005,8000,NA
"SURVEY","ONIONS, DRY, SUMMER, NON-STORAGE","06",2005,8600,NA
"SURVEY","ONIONS, DRY, SUMMER, STORAGE","06",2005,30600,NA
"SURVEY","PEPPERS, BELL","06",2005,23000,NA
"SURVEY","PEPPERS, CHILE","06",2005,5900,NA
"SURVEY","POTATOES","06",2005,40200,NA
"SURVEY","POTATOES, FALL","06",2005,7600,NA
"SURVEY","POTATOES, SPRING","06",2005,15100,NA
"SURVEY","POTATOES, SUMMER","06",2005,3500,NA
"SURVEY","POTATOES, WINTER","06",2005,14000,NA
"SURVEY","PUMPKINS","06",2005,5500,NA
"SURVEY","RICE","06",2005,526000,NA
"SURVEY","RICE","06007",2005,96400,NA
"SURVEY","RICE","06011",2005,145000,NA
"SURVEY","RICE","06019",2005,4800,NA
"SURVEY","RICE","06021",2005,86800,NA
"SURVEY","RICE","06047",2005,4000,NA
"SURVEY","RICE","06061",2005,12000,NA
"SURVEY","RICE","06067",2005,7800,NA
"SURVEY","RICE","06077",2005,3700,NA
"SURVEY","RICE","06099",2005,1000,NA
"SURVEY","RICE","06101",2005,101400,NA
"SURVEY","RICE","06103",2005,800,NA
"SURVEY","RICE","06113",2005,29100,NA
"SURVEY","RICE","06115",2005,33200,NA
"SURVEY","RICE","06ag50",2005,500500,NA
"SURVEY","RICE","06ag51",2005,13500,NA
"SURVEY","RICE","06ag60",2005,12000,NA
"SURVEY","RICE, LONG GRAIN","06",2005,9000,NA
"SURVEY","RICE, MEDIUM GRAIN","06",2005,463000,NA
"SURVEY","RICE, SHORT GRAIN","06",2005,54000,NA
"SURVEY","SAFFLOWER","06",2005,54000,NA
"SURVEY","SORGHUM, GRAIN","06",2005,10000,NA
"SURVEY","SORGHUM, GRAIN","06029",2005,1000,NA
"SURVEY","SORGHUM, GRAIN","06031",2005,500,NA
"SURVEY","SORGHUM, GRAIN","06067",2005,2000,NA
"SURVEY","SORGHUM, GRAIN","06077",2005,500,NA
"SURVEY","SORGHUM, GRAIN","06095",2005,700,NA
"SURVEY","SORGHUM, GRAIN","06101",2005,900,NA
"SURVEY","SORGHUM, GRAIN","06107",2005,3000,NA
"SURVEY","SORGHUM, GRAIN","06113",2005,500,NA
"SURVEY","SORGHUM, GRAIN","06ag50",2005,4700,NA
"SURVEY","SORGHUM, GRAIN","06ag51",2005,5000,NA
"SURVEY","SORGHUM, GRAIN","06ag98",2005,300,NA
"SURVEY","SORGHUM, SILAGE","06",2005,16000,NA
"SURVEY","SPINACH, FRESH MARKET","06",2005,30000,NA
"SURVEY","SPINACH, PROCESSING","06",2005,6100,NA
"SURVEY","SQUASH","06",2005,6500,NA
"SURVEY","STRAWBERRIES","06",2005,34300,NA
"SURVEY","SUGARBEETS","06",2005,44100,NA
"SURVEY","SUGARBEETS","06019",2005,10700,NA
"SURVEY","SUGARBEETS","06025",2005,23400,NA
"SURVEY","SUGARBEETS","06029",2005,4700,NA
"SURVEY","SUGARBEETS","06031",2005,800,NA
"SURVEY","SUGARBEETS","06047",2005,3600,NA
"SURVEY","SUGARBEETS","06ag51",2005,20700,NA
"SURVEY","SUGARBEETS","06ag80",2005,23400,NA
"SURVEY","SWEET CORN, FRESH MARKET","06",2005,25300,NA
"SURVEY","SWEET POTATOES","06",2005,11700,NA
"SURVEY","TOMATOES, IN THE OPEN, FRESH MARKET","06",2005,40000,NA
"SURVEY","TOMATOES, IN THE OPEN, PROCESSING","06",2005,264000,NA
"SURVEY","TOMATOES, IN THE OPEN, PROCESSING","06ag50",2005,74900,NA
"SURVEY","TOMATOES, IN THE OPEN, PROCESSING","06ag51",2005,177000,NA
"SURVEY","TOMATOES, IN THE OPEN, PROCESSING","06ag98",2005,12100,NA
"SURVEY","VEGETABLE TOTALS, 10 MAJOR, VARIES BY SEASON, PROCESSING","06",2005,290100,NA
"SURVEY","VEGETABLE TOTALS, 34 MAJOR, VARIES BY SEASON, FRESH MARKET","06",2005,796200,NA
"SURVEY","WHEAT","06",2005,369000,289800
"SURVEY","WHEAT","06001",2005,500,500
