commodity,location,year,irrigated,non_irr,total
HAY,cmz49,1997,102408.09,5179.59,107587.68
HAYLAGE,cmz49,1997,4970.32,217.05,5187.37
HOPS,cmz49,1997,9890.29,0.00,9890.29
LENTILS,cmz49,1997,0.00,79.95,79.95
MELONS,cmz49,1997,232.92,0.00,232.92
MINT,cmz49,1997,0.00,18481.93,18481.93
MUSTARD,cmz49,1997,1234.54,0.00,1234.54
OATS,cmz49,1997,34.10,834.91,869.01
ONIONS,cmz49,1997,12065.36,0.00,12065.36
PEAS,cmz49,1997,1104.44,2750.39,3854.83
POPCORN,cmz49,1997,1500.76,0.00,1500.76
POTATOES,cmz49,1997,90742.86,1571.71,92314.57
PUMPKINS,cmz49,1997,112.52,0.00,112.52
RASPBERRIES,cmz49,1997,57.30,0.00,57.30
SPINACH,cmz49,1997,48.51,0.00,48.51
SQUASH,cmz49,1997,105.47,0.00,105.47
STRAWBERRIES,cmz49,1997,20.46,0.00,20.46
SWEET CORN,cmz49,1997,23979.30,0.00,23979.30
TOMATOES,cmz49,1997,113.69,0.00,113.69
TRITICALE,cmz49,1997,244.80,18.80,263.60
TURNIPS,cmz49,1997,12.75,0.00,12.75
"VEGETABLES, OTHER",cmz49,1997,14.00,0.00,14.00
VEGETABLE TOTALS,cmz49,1997,101093.18,0.00,101093.18
WHEAT,cmz49,1997,0.00,57.28,57.28
ASPARAGUS,cmz50,1997,7646.11,0.00,7646.11
BARLEY,cmz50,1997,4158.85,113744.44,117903.29
BEANS,cmz50,1997,0.00,695.37,695.37
BEETS,cmz50,1997,1.52,0.00,1.52
BERRY TOTALS,cmz50,1997,38.22,0.00,38.22
BROCCOLI,cmz50,1997,0.34,0.00,0.34
BUCKWHEAT,cmz50,1997,1317.08,0.00,1317.08
CABBAGE,cmz50,1997,59.51,0.00,59.51
CANOLA,cmz50,1997,3375.39,4667.43,8042.82
CARROTS,cmz50,1997,2001.34,0.00,2001.34
CORN,cmz50,1997,39432.98,1314.76,40747.74
CUCUMBERS,cmz50,1997,69.60,0.00,69.60
EGGPLANT,cmz50,1997,2.03,0.00,2.03
"FIELD CROPS, OTHER",cmz50,1997,355.52,3.20,358.72
GARLIC,cmz50,1997,7.09,0.00,7.09
"GRASSES & LEGUMES, OTHER",cmz50,1997,738.54,0.00,738.54
GRASSES & LEGUMES TOTALS,cmz50,1997,24284.23,0.00,24284.23
HAY,cmz50,1997,106273.30,42239.50,148512.80
HAYLAGE,cmz50,1997,3867.57,781.09,4648.66
HOPS,cmz50,1997,9499.69,0.00,9499.69
LENTILS,cmz50,1997,0.00,25441.65,25441.65
MELONS,cmz50,1997,441.34,0.00,441.34
MINT,cmz50,1997,0.00,14007.47,14007.47
MUSTARD,cmz50,1997,4638.85,0.00,4638.85
OATS,cmz50,1997,401.58,7345.10,7746.68
ONIONS,cmz50,1997,9804.00,0.00,9804.00
PEAS,cmz50,1997,2603.15,48307.96,50911.11
POPCORN,cmz50,1997,706.24,0.00,706.24
POTATOES,cmz50,1997,71532.46,769.53,72301.99
PUMPKINS,cmz50,1997,96.04,0.00,96.04
RASPBERRIES,cmz50,1997,28.54,0.00,28.54
SPINACH,cmz50,1997,335.16,0.00,335.16
SQUASH,cmz50,1997,121.15,0.00,121.15
STRAWBERRIES,cmz50,1997,12.26,0.00,12.26
SWEET CORN,cmz50,1997,21856.74,0.00,21856.74
TOMATOES,cmz50,1997,136.83,0.00,136.83
TRITICALE,cmz50,1997,367.20,28.20,395.40
TURNIPS,cmz50,1997,14.79,0.00,14.79
"VEGETABLES, OTHER",cmz50,1997,16.92,0.00,16.92
VEGETABLE TOTALS,cmz50,1997,88805.02,0.00,88805.02
WHEAT,cmz50,1997,0.00,257.76,257.76
ASPARAGUS,cmz51,1997,3540.62,0.00,3540.62
BARLEY,cmz51,1997,8269.59,4187.15,12456.74
BEANS,cmz51,1997,0.00,59.34,59.34
BERRY TOTALS,cmz51,1997,28.95,0.00,28.95
BLUEBERRIES,cmz51,1997,10.73,0.00,10.73
BROCCOLI,cmz51,1997,1.06,0.00,1.06
CABBAGE,cmz51,1997,82.34,0.00,82.34
CARROTS,cmz51,1997,2.24,0.00,2.24
CORN,cmz51,1997,11243.38,240.12,11483.50
CUCUMBERS,cmz51,1997,108.56,0.00,108.56
EGGPLANT,cmz51,1997,3.22,0.00,3.22
GARLIC,cmz51,1997,391.34,0.00,391.34
"GRASSES & LEGUMES, OTHER",cmz51,1997,716.48,0.00,716.48
GRASSES & LEGUMES TOTALS,cmz51,1997,4149.14,0.00,4149.14
HAY,cmz51,1997,80696.73,25309.61,106006.34
HAYLAGE,cmz51,1997,3550.70,349.37,3900.07
HERBS,cmz51,1997,22.72,22.08,44.80
HOPS,cmz51,1997,12759.02,0.00,12759.02
MELONS,cmz51,1997,143.98,0.00,143.98
MINT,cmz51,1997,0.00,8516.20,8516.20
OATS,cmz51,1997,1312.88,802.44,2115.32
ONIONS,cmz51,1997,88.96,0.00,88.96
PEAS,cmz51,1997,0.00,263.58,263.58
POTATOES,cmz51,1997,4460.60,34.50,4495.10
PUMPKINS,cmz51,1997,57.96,0.00,57.96
RASPBERRIES,cmz51,1997,6.12,0.00,6.12
RYE,cmz51,1997,28.48,0.00,28.48
SQUASH,cmz51,1997,190.00,0.00,190.00
STRAWBERRIES,cmz51,1997,5.44,0.00,5.44
SWEET CORN,cmz51,1997,5561.12,0.00,5561.12
TOMATOES,cmz51,1997,191.03,0.00,191.03
TURNIPS,cmz51,1997,23.46,0.00,23.46
"VEGETABLES, OTHER",cmz51,1997,26.70,0.00,26.70
VEGETABLE TOTALS,cmz51,1997,12309.35,0.00,12309.35
WHEAT,cmz51,1997,19.30,2577.66,2596.96
BARLEY,cmz52,1997,6175.40,2123.66,8299.06
BEANS,cmz52,1997,0.00,7136.84,7136.84
BEETS,cmz52,1997,329.16,0.00,329.16
"BERRIES, OTHER",cmz52,1997,77.00,0.00,77.00
BERRY TOTALS,cmz52,1997,9461.33,0.00,9461.33
BLACKBERRIES,cmz52,1997,1760.56,0.00,1760.56
BLUEBERRIES,cmz52,1997,1447.42,0.00,1447.42
BOYSENBERRIES,cmz52,1997,433.32,0.00,433.32
BROCCOLI,cmz52,1997,1180.36,0.00,1180.36
CABBAGE,cmz52,1997,523.45,0.00,523.45
CARROTS,cmz52,1997,553.19,0.00,553.19
CAULIFLOWER,cmz52,1997,893.01,0.00,893.01
CELERY,cmz52,1997,55.45,0.00,55.45
CORN,cmz52,1997,6857.64,16812.55,23670.19
CUCUMBERS,cmz52,1997,2724.34,0.00,2724.34
EGGPLANT,cmz52,1997,2.27,0.00,2.27
"FIELD CROPS, OTHER",cmz52,1997,61.25,156.10,217.35
GARLIC,cmz52,1997,371.26,0.00,371.26
"GRASSES & LEGUMES, OTHER",cmz52,1997,3408.55,0.00,3408.55
GRASSES & LEGUMES TOTALS,cmz52,1997,41967.51,0.00,41967.51
GREENS,cmz52,1997,32.41,0.00,32.41
HAY,cmz52,1997,30458.45,36190.63,66649.08
HAYLAGE,cmz52,1997,14681.61,28960.35,43641.96
HERBS,cmz52,1997,10.65,99.09,109.74
HOPS,cmz52,1997,2592.45,0.00,2592.45
LETTUCE,cmz52,1997,744.21,0.00,744.21
LOGANBERRIES,cmz52,1997,14.05,0.00,14.05
MELONS,cmz52,1997,65.05,0.00,65.05
MINT,cmz52,1997,0.00,7220.01,7220.01
OATS,cmz52,1997,644.50,3465.46,4109.96
ONIONS,cmz52,1997,930.55,0.00,930.55
PEAS,cmz52,1997,0.00,0.14,0.14
POTATOES,cmz52,1997,4651.65,3801.25,8452.90
PUMPKINS,cmz52,1997,1200.47,0.00,1200.47
RADISHES,cmz52,1997,92.23,0.00,92.23
RASPBERRIES,cmz52,1997,8123.36,0.00,8123.36
RHUBARB,cmz52,1997,623.59,0.00,623.59
RYE,cmz52,1997,23.14,0.00,23.14
SOD,cmz52,1997,714.01,0.00,714.01
SPINACH,cmz52,1997,58.06,0.00,58.06
SQUASH,cmz52,1997,1166.68,0.00,1166.68
STRAWBERRIES,cmz52,1997,1865.21,0.00,1865.21
SUGARBEETS,cmz52,1997,0.00,946.80,946.80
SWEET CORN,cmz52,1997,13052.90,0.00,13052.90
TOMATOES,cmz52,1997,89.07,0.00,89.07
TURNIPS,cmz52,1997,1.16,0.00,1.16
"VEGETABLES, MIXED",cmz52,1997,1.91,0.00,1.91
"VEGETABLES, OTHER",cmz52,1997,278.13,0.00,278.13
VEGETABLE TOTALS,cmz52,1997,48225.41,0.00,48225.41
WHEAT,cmz52,1997,0.00,1038.48,1038.48
BARLEY,cmz53,1997,0.00,2359.93,2359.93
BEANS,cmz53,1997,0.00,13799.13,13799.13
BEETS,cmz53,1997,585.59,0.00,585.59
"BERRIES, OTHER",cmz53,1997,150.26,0.00,150.26
BERRY TOTALS,cmz53,1997,7481.09,0.00,7481.09
BLACKBERRIES,cmz53,1997,3261.93,0.00,3261.93
BLUEBERRIES,cmz53,1997,1862.92,0.00,1862.92
BOYSENBERRIES,cmz53,1997,769.43,0.00,769.43
BROCCOLI,cmz53,1997,2347.82,0.00,2347.82
CABBAGE,cmz53,1997,587.76,0.00,587.76
CARROTS,cmz53,1997,329.97,0.00,329.97
CAULIFLOWER,cmz53,1997,1285.04,0.00,1285.04
CELERY,cmz53,1997,50.80,0.00,50.80
CORN,cmz53,1997,9305.02,7817.63,17122.65
CUCUMBERS,cmz53,1997,2202.44,0.00,2202.44
CURRANTS,cmz53,1997,6.60,0.00,6.60
EGGPLANT,cmz53,1997,2.65,0.00,2.65
"FIELD CROPS, OTHER",cmz53,1997,113.75,260.50,374.25
GARLIC,cmz53,1997,387.10,0.00,387.10
"GRASSES & LEGUMES, OTHER",cmz53,1997,4922.90,0.00,4922.90
GRASSES & LEGUMES TOTALS,cmz53,1997,93183.36,0.00,93183.36
GREENS,cmz53,1997,24.99,0.00,24.99
HAY,cmz53,1997,5089.44,42619.65,47709.09
HAYLAGE,cmz53,1997,8614.13,24727.82,33341.95
HERBS,cmz53,1997,0.00,80.05,80.05
HOPS,cmz53,1997,4814.55,0.00,4814.55
LETTUCE,cmz53,1997,525.04,0.00,525.04
LOGANBERRIES,cmz53,1997,21.95,0.00,21.95
MELONS,cmz53,1997,62.63,0.00,62.63
MINT,cmz53,1997,0.00,8761.64,8761.64
OATS,cmz53,1997,202.45,11158.10,11360.55
ONIONS,cmz53,1997,1557.27,0.00,1557.27
PEAS,cmz53,1997,0.00,22.92,22.92
POTATOES,cmz53,1997,971.23,1849.80,2821.03
PUMPKINS,cmz53,1997,1171.51,0.00,1171.51
RADISHES,cmz53,1997,52.74,0.00,52.74
RASPBERRIES,cmz53,1997,4995.76,0.00,4995.76
RHUBARB,cmz53,1997,438.55,0.00,438.55
SOD,cmz53,1997,1304.03,0.00,1304.03
SPINACH,cmz53,1997,37.77,0.00,37.77
SQUASH,cmz53,1997,1955.11,0.00,1955.11
STRAWBERRIES,cmz53,1997,3120.13,0.00,3120.13
SUGARBEETS,cmz53,1997,0.00,1472.34,1472.34
SWEET CORN,cmz53,1997,25539.67,0.00,25539.67
TOMATOES,cmz53,1997,102.27,0.00,102.27
TURNIPS,cmz53,1997,0.78,0.00,0.78
"VEGETABLES, MIXED",cmz53,1997,5.25,0.00,5.25
"VEGETABLES, OTHER",cmz53,1997,228.31,0.00,228.31
VEGETABLE TOTALS,cmz53,1997,65471.56,0.00,65471.56
WHEAT,cmz53,1997,0.00,512.81,512.81
BARLEY,cmz54,1997,0.00,431.46,431.46
BEANS,cmz54,1997,0.00,3574.04,3574.04
BEETS,cmz54,1997,287.32,0.00,287.32
"BERRIES, OTHER",cmz54,1997,3.74,0.00,3.74
BERRY TOTALS,cmz54,1997,3739.46,0.00,3739.46
BLACKBERRIES,cmz54,1997,536.70,0.00,536.70
BLUEBERRIES,cmz54,1997,598.07,0.00,598.07
BOYSENBERRIES,cmz54,1997,116.00,0.00,116.00
BROCCOLI,cmz54,1997,267.50,0.00,267.50
CABBAGE,cmz54,1997,3.31,0.00,3.31
CARROTS,cmz54,1997,51.22,0.00,51.22
CAULIFLOWER,cmz54,1997,1.10,0.00,1.10
CORN,cmz54,1997,3209.16,557.58,3766.74
CRANBERRIES,cmz54,1997,2280.64,0.00,2280.64
CUCUMBERS,cmz54,1997,105.89,0.00,105.89
CURRANTS,cmz54,1997,3.40,0.00,3.40
EGGPLANT,cmz54,1997,1.35,0.00,1.35
"FIELD CROPS, OTHER",cmz54,1997,0.00,34.40,34.40
GARLIC,cmz54,1997,17.89,0.00,17.89
"GRASSES & LEGUMES, OTHER",cmz54,1997,1963.40,0.00,1963.40
GRASSES & LEGUMES TOTALS,cmz54,1997,52828.49,0.00,52828.49
HAY,cmz54,1997,2491.90,19398.23,21890.13
HAYLAGE,cmz54,1997,4345.77,11183.29,15529.06
HERBS,cmz54,1997,0.00,26.34,26.34
LETTUCE,cmz54,1997,13.09,0.00,13.09
MELONS,cmz54,1997,49.62,0.00,49.62
MINT,cmz54,1997,0.00,4115.85,4115.85
OATS,cmz54,1997,86.00,5359.30,5445.30
ONIONS,cmz54,1997,81.66,0.00,81.66
PEAS,cmz54,1997,0.00,11.26,11.26
POTATOES,cmz54,1997,5.87,0.36,6.23
PUMPKINS,cmz54,1997,128.37,0.00,128.37
RASPBERRIES,cmz54,1997,535.92,0.00,535.92
RHUBARB,cmz54,1997,28.80,0.00,28.80
SPINACH,cmz54,1997,0.18,0.00,0.18
SQUASH,cmz54,1997,612.79,0.00,612.79
STRAWBERRIES,cmz54,1997,654.28,0.00,654.28
SUGARBEETS,cmz54,1997,0.00,675.21,675.21
SWEET CORN,cmz54,1997,9067.79,0.00,9067.79
TOMATOES,cmz54,1997,39.83,0.00,39.83
"VEGETABLES, MIXED",cmz54,1997,0.54,0.00,0.54
"VEGETABLES, OTHER",cmz54,1997,22.59,0.00,22.59
VEGETABLE TOTALS,cmz54,1997,16016.30,0.00,16016.30
WHEAT,cmz54,1997,0.00,41.93,41.93
ASPARAGUS,cmz55,1997,10.72,0.00,10.72
BARLEY,cmz55,1997,4437.94,3981.28,8419.22
BEANS,cmz55,1997,0.00,0.21,0.21
BERRY TOTALS,cmz55,1997,7.66,0.00,7.66
BROCCOLI,cmz55,1997,0.01,0.00,0.01
CANOLA,cmz55,1997,0.00,38.55,38.55
CARROTS,cmz55,1997,0.03,0.00,0.03
CORN,cmz55,1997,9481.81,10.36,9492.17
CUCUMBERS,cmz55,1997,0.21,0.00,0.21
"FIELD CROPS, OTHER",cmz55,1997,167.00,0.00,167.00
GARLIC,cmz55,1997,733.28,0.00,733.28
"GRASSES & LEGUMES, OTHER",cmz55,1997,1131.22,0.00,1131.22
GRASSES & LEGUMES TOTALS,cmz55,1997,7145.19,0.00,7145.19
HAY,cmz55,1997,103072.88,32190.91,135263.79
HAYLAGE,cmz55,1997,4706.39,295.79,5002.18
HERBS,cmz55,1997,34.08,33.12,67.20
LETTUCE,cmz55,1997,0.21,0.00,0.21
MELONS,cmz55,1997,4.38,0.00,4.38
MINT,cmz55,1997,0.00,8953.68,8953.68
OATS,cmz55,1997,366.84,742.80,1109.64
ONIONS,cmz55,1997,3325.36,0.00,3325.36
PEAS,cmz55,1997,15.68,70.20,85.88
POTATOES,cmz55,1997,6906.95,3.36,6910.31
PUMPKINS,cmz55,1997,4.50,0.00,4.50
SOD,cmz55,1997,183.33,0.00,183.33
SQUASH,cmz55,1997,0.63,0.00,0.63
SUGARBEETS,cmz55,1997,6258.91,0.00,6258.91
SWEET CORN,cmz55,1997,1875.09,0.00,1875.09
TOMATOES,cmz55,1997,4.16,0.00,4.16
VEGETABLE TOTALS,cmz55,1997,7003.17,0.00,7003.17
WHEAT,cmz55,1997,35.10,183.74,218.84
BARLEY,cmz56,1997,78.00,98.67,176.67
BEANS,cmz56,1997,0.00,1.05,1.05
BERRY TOTALS,cmz56,1997,70.15,0.00,70.15
BLUEBERRIES,cmz56,1997,1.13,0.00,1.13
CORN,cmz56,1997,30.81,106.47,137.28
CRANBERRIES,cmz56,1997,33.28,0.00,33.28
CUCUMBERS,cmz56,1997,1.05,0.00,1.05
HAY,cmz56,1997,480.61,1921.92,2402.53
HAYLAGE,cmz56,1997,619.50,876.40,1495.90
OATS,cmz56,1997,0.00,9.10,9.10
PUMPKINS,cmz56,1997,9.80,0.00,9.80
RASPBERRIES,cmz56,1997,1.00,0.00,1.00
SQUASH,cmz56,1997,2.80,0.00,2.80
STRAWBERRIES,cmz56,1997,5.07,0.00,5.07
SWEET CORN,cmz56,1997,271.90,0.00,271.90
TOMATOES,cmz56,1997,0.35,0.00,0.35
VEGETABLE TOTALS,cmz56,1997,495.02,0.00,495.02
BARLEY,cmz68,1997,6460.98,134.72,6595.70
CORN,cmz68,1997,22.88,0.00,22.88
HAY,cmz68,1997,32725.33,555.41,33280.74
HAYLAGE,cmz68,1997,44.99,0.00,44.99
OATS,cmz68,1997,241.52,0.00,241.52
POTATOES,cmz68,1997,1199.17,0.00,1199.17
WHEAT,cmz68,1997,4693.70,631.38,5325.08
BARLEY,cmz71,1997,116.00,157.19,273.19
BEANS,cmz71,1997,0.00,98.26,98.26
BEETS,cmz71,1997,11.15,0.00,11.15
BERRY TOTALS,cmz71,1997,1048.96,0.00,1048.96
BLACKBERRIES,cmz71,1997,6.62,0.00,6.62
BLUEBERRIES,cmz71,1997,16.64,0.00,16.64
BOYSENBERRIES,cmz71,1997,0.55,0.00,0.55
BROCCOLI,cmz71,1997,0.78,0.00,0.78
CABBAGE,cmz71,1997,0.70,0.00,0.70
CARROTS,cmz71,1997,13.70,0.00,13.70
CAULIFLOWER,cmz71,1997,0.20,0.00,0.20
CORN,cmz71,1997,123.08,422.30,545.38
CRANBERRIES,cmz71,1997,1474.07,0.00,1474.07
CUCUMBERS,cmz71,1997,2.00,0.00,2.00
EGGPLANT,cmz71,1997,0.15,0.00,0.15
GARLIC,cmz71,1997,0.80,0.00,0.80
GRASSES & LEGUMES TOTALS,cmz71,1997,1916.78,0.00,1916.78
HAY,cmz71,1997,838.03,7806.12,8644.15
HAYLAGE,cmz71,1997,2736.37,5669.00,8405.37
HERBS,cmz71,1997,0.00,0.36,0.36
LETTUCE,cmz71,1997,1.41,0.00,1.41
MELONS,cmz71,1997,5.00,0.00,5.00
MINT,cmz71,1997,0.00,270.65,270.65
OATS,cmz71,1997,0.00,58.49,58.49
ONIONS,cmz71,1997,0.18,0.00,0.18
POTATOES,cmz71,1997,0.40,0.10,0.50
PUMPKINS,cmz71,1997,12.49,0.00,12.49
RASPBERRIES,cmz71,1997,3.75,0.00,3.75
SPINACH,cmz71,1997,0.05,0.00,0.05
SQUASH,cmz71,1997,3.12,0.00,3.12
STRAWBERRIES,cmz71,1997,12.16,0.00,12.16
SUGARBEETS,cmz71,1997,0.00,38.65,38.65
SWEET CORN,cmz71,1997,1016.34,0.00,1016.34
TOMATOES,cmz71,1997,4.11,0.00,4.11
"VEGETABLES, MIXED",cmz71,1997,0.15,0.00,0.15
"VEGETABLES, OTHER",cmz71,1997,3.15,0.00,3.15
VEGETABLE TOTALS,cmz71,1997,1941.43,0.00,1941.43
WHEAT,cmz71,1997,0.00,3.69,3.69
ASPARAGUS,cmz08,2002,242.28,0.00,242.28
BARLEY,cmz08,2002,180517.86,248337.43,428855.29
BEANS,cmz08,2002,0.00,12.94,12.94
BEETS,cmz08,2002,2.16,0.00,2.16
BERRY TOTALS,cmz08,2002,70.58,0.00,70.58
BLACKBERRIES,cmz08,2002,1.32,0.00,1.32
BLUEBERRIES,cmz08,2002,3.32,0.00,3.32
BOYSENBERRIES,cmz08,2002,0.10,0.00,0.10
BROCCOLI,cmz08,2002,2.75,0.00,2.75
CABBAGE,cmz08,2002,4.41,0.00,4.41
CANOLA,cmz08,2002,1439.06,11460.02,12899.08
CARROTS,cmz08,2002,8.65,0.00,8.65
CORN,cmz08,2002,10426.11,384.53,10810.64
CUCUMBERS,cmz08,2002,6.91,0.00,6.91
"FIELD CROPS, OTHER",cmz08,2002,44.34,0.00,44.34
GARLIC,cmz08,2002,126.55,0.00,126.55
"GRASSES & LEGUMES, OTHER",cmz08,2002,251.34,0.00,251.34
GRASSES & LEGUMES TOTALS,cmz08,2002,60539.82,0.00,60539.82
HAY,cmz08,2002,830312.28,453317.80,1283630.08
HAY & HAYLAGE,cmz08,2002,877550.40,571556.51,1449106.91
HAYLAGE,cmz08,2002,13523.82,5436.02,18959.84
HERBS,cmz08,2002,3.38,1.77,5.15
LENTILS,cmz08,2002,0.00,25291.59,25291.59
LETTUCE,cmz08,2002,3.57,0.00,3.57
MELONS,cmz08,2002,268.22,0.00,268.22
MINT,cmz08,2002,0.00,7297.53,7297.53
MUSTARD,cmz08,2002,6984.61,0.00,6984.61
OATS,cmz08,2002,8685.35,12889.39,21574.74
ONIONS,cmz08,2002,370.77,0.00,370.77
PEAS,cmz08,2002,337.72,21960.95,22298.67
PEPPERS,cmz08,2002,4.52,0.00,4.52
POTATOES,cmz08,2002,53548.64,2.39,53551.03
PUMPKINS,cmz08,2002,56.96,0.00,56.96
RASPBERRIES,cmz08,2002,21.45,0.00,21.45
SAFFLOWER,cmz08,2002,0.00,134.89,134.89
SHORT TERM WOODY CROPS,cmz08,2002,0.70,0.00,0.70
SOD,cmz08,2002,29.00,0.00,29.00
SPINACH,cmz08,2002,1.15,0.00,1.15
SQUASH,cmz08,2002,20.89,0.00,20.89
STRAWBERRIES,cmz08,2002,12.20,0.00,12.20
SUGARBEETS,cmz08,2002,7313.09,0.00,7313.09
SUNFLOWER,cmz08,2002,0.00,104.40,104.40
SWEET CORN,cmz08,2002,1116.76,0.00,1116.76
TOMATOES,cmz08,2002,21.49,0.00,21.49
TRITICALE,cmz08,2002,0.00,15.96,15.96
"VEGETABLES, MIXED",cmz08,2002,25.70,0.00,25.70
"VEGETABLES, OTHER",cmz08,2002,2.51,0.00,2.51
VEGETABLE TOTALS,cmz08,2002,10338.25,0.00,10338.25
WHEAT,cmz08,2002,23640.54,369534.28,393174.82
BARLEY,cmz10,2002,202608.40,95553.05,298161.45
BEANS,cmz10,2002,0.00,1.00,1.00
BERRY TOTALS,cmz10,2002,7.24,0.00,7.24
CORN,cmz10,2002,16551.04,0.00,16551.04
GRASSES & LEGUMES TOTALS,cmz10,2002,65.25,0.00,65.25
HAY,cmz10,2002,290421.65,44550.04,334971.69
HAY & HAYLAGE,cmz10,2002,303593.90,51367.88,354961.78
HAYLAGE,cmz10,2002,8958.31,209.29,9167.60
MUSTARD,cmz10,2002,422.10,0.00,422.10
OATS,cmz10,2002,2107.09,627.39,2734.48
ONIONS,cmz10,2002,1.00,0.00,1.00
POTATOES,cmz10,2002,220481.94,0.00,220481.94
PUMPKINS,cmz10,2002,5.00,0.00,5.00
RASPBERRIES,cmz10,2002,3.22,0.00,3.22
SAFFLOWER,cmz10,2002,0.88,4189.07,4189.95
SOD,cmz10,2002,33.96,0.00,33.96
SUGARBEETS,cmz10,2002,64870.02,0.00,64870.02
SWEET CORN,cmz10,2002,13.00,0.00,13.00
TOMATOES,cmz10,2002,1.66,0.00,1.66
VEGETABLE TOTALS,cmz10,2002,41.94,0.00,41.94
WHEAT,cmz10,2002,121663.88,51234.53,172898.41
ASPARAGUS,cmz11,2002,104.80,0.00,104.80
BARLEY,cmz11,2002,79706.67,5826.40,85533.07
BEANS,cmz11,2002,0.00,882.58,882.58
BEETS,cmz11,2002,1.00,0.00,1.00
BERRY TOTALS,cmz11,2002,23.58,0.00,23.58
BLACKBERRIES,cmz11,2002,0.92,0.00,0.92
CORN,cmz11,2002,117201.30,8.10,117209.40
CUCUMBERS,cmz11,2002,4.79,0.00,4.79
"FIELD CROPS, OTHER",cmz11,2002,54.50,0.00,54.50
GRASSES & LEGUMES TOTALS,cmz11,2002,17133.00,0.00,17133.00
HAY,cmz11,2002,255142.11,31061.16,286203.27
HAY & HAYLAGE,cmz11,2002,300447.51,27333.82,327781.33
HAYLAGE,cmz11,2002,40865.25,439.05,41304.30
MELONS,cmz11,2002,48.55,0.00,48.55
MINT,cmz11,2002,0.00,8507.81,8507.81
OATS,cmz11,2002,1168.68,211.01,1379.69
ONIONS,cmz11,2002,6946.86,0.00,6946.86
PEAS,cmz11,2002,2039.28,203.64,2242.92
PEPPERS,cmz11,2002,49.00,0.00,49.00
POTATOES,cmz11,2002,73739.13,0.00,73739.13
PUMPKINS,cmz11,2002,140.11,0.00,140.11
RASPBERRIES,cmz11,2002,9.00,0.00,9.00
SOD,cmz11,2002,2198.29,0.00,2198.29
SUGARBEETS,cmz11,2002,97976.50,0.00,97976.50
SWEET CORN,cmz11,2002,10674.06,0.00,10674.06
TOMATOES,cmz11,2002,8.16,0.00,8.16
TURNIPS,cmz11,2002,5.25,0.00,5.25
VEGETABLE TOTALS,cmz11,2002,16285.33,0.00,16285.33
WHEAT,cmz11,2002,64201.44,7606.14,71807.58
ASPARAGUS,cmz25,2002,50.82,0.00,50.82
BARLEY,cmz25,2002,27831.33,483.96,28315.29
BLACKBERRIES,cmz25,2002,1.08,0.00,1.08
CORN,cmz25,2002,29971.47,38.88,30010.35
GRASSES & LEGUMES TOTALS,cmz25,2002,2469.14,0.00,2469.14
HAY,cmz25,2002,124455.72,3400.85,127856.57
HAY & HAYLAGE,cmz25,2002,138699.92,3966.38,142666.30
HAYLAGE,cmz25,2002,8026.26,234.90,8261.16
MELONS,cmz25,2002,2.88,0.00,2.88
MINT,cmz25,2002,0.00,142.32,142.32
OATS,cmz25,2002,420.03,35.85,455.88
ONIONS,cmz25,2002,3440.18,0.00,3440.18
PEAS,cmz25,2002,927.72,234.36,1162.08
POTATOES,cmz25,2002,24677.68,0.00,24677.68
SUGARBEETS,cmz25,2002,29823.43,0.00,29823.43
SWEET CORN,cmz25,2002,3146.40,0.00,3146.40
TOMATOES,cmz25,2002,1.26,0.00,1.26
TURNIPS,cmz25,2002,25.20,0.00,25.20
VEGETABLE TOTALS,cmz25,2002,7572.09,0.00,7572.09
WHEAT,cmz25,2002,40678.92,13200.92,53879.84
ASPARAGUS,cmz26,2002,119.28,0.00,119.28
BARLEY,cmz26,2002,3309.79,147.99,3457.78
BEANS,cmz26,2002,0.00,1.14,1.14
BEETS,cmz26,2002,0.11,0.00,0.11
BERRY TOTALS,cmz26,2002,6.67,0.00,6.67
BLACKBERRIES,cmz26,2002,0.22,0.00,0.22
BLUEBERRIES,cmz26,2002,0.28,0.00,0.28
BOYSENBERRIES,cmz26,2002,0.04,0.00,0.04
BROCCOLI,cmz26,2002,0.17,0.00,0.17
CARROTS,cmz26,2002,535.00,0.00,535.00
CORN,cmz26,2002,12892.81,108.54,13001.35
CUCUMBERS,cmz26,2002,0.81,0.00,0.81
EGGPLANT,cmz26,2002,0.35,0.00,0.35
GARLIC,cmz26,2002,22.75,0.00,22.75
GRASSES & LEGUMES TOTALS,cmz26,2002,3914.05,0.00,3914.05
GREENS,cmz26,2002,0.24,0.00,0.24
HAY,cmz26,2002,218684.68,19786.48,238471.16
HAY & HAYLAGE,cmz26,2002,181536.41,-60750.98,120785.43
HAYLAGE,cmz26,2002,692.95,138.53,831.48
HERBS,cmz26,2002,0.00,0.14,0.14
LETTUCE,cmz26,2002,0.53,0.00,0.53
MELONS,cmz26,2002,9.40,0.00,9.40
MILLET,cmz26,2002,16.20,0.00,16.20
MINT,cmz26,2002,0.00,796.48,796.48
OATS,cmz26,2002,386.23,798.75,1184.98
OKRA,cmz26,2002,0.24,0.00,0.24
ONIONS,cmz26,2002,9257.98,0.00,9257.98
PEAS,cmz26,2002,3.60,0.00,3.60
PEPPERS,cmz26,2002,1.26,0.00,1.26
POTATOES,cmz26,2002,5684.97,0.00,5684.97
PUMPKINS,cmz26,2002,1.92,0.00,1.92
